Reference Type,"Authors, Primary",Title Primary,Periodical Full,Periodical Abbrev,Pub Year,Volume,Issue,Start Page,Other Pages,Keywords,Abstract,Notes,Personal Notes,"Authors, Secondary",Title Secondary,Edition,Publisher,Place Of Publication,"Authors, Tertiary","Authors, Quaternary","Authors, Quinary","Title, Tertiary",ISSN/ISBN,Availability,Author/Address,Accession Number,Language,Classification,Sub file/Database,Original Foreign Title,Links,URL,DOI,PMID,PMCID,Call Number,Database,Data Source,Identifying Phrase,Retrieved Date,Shortened Title,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15
Journal Article,"Gibbs,Benjamin G.;Erickson,Lance D.;Dufur,Mikaela J.;Miles,Aaron",Extracurricular associations and college enrollment,Social science research,Soc.Sci.Res.,2015,50, ,367,381,Extracurricular activities;GPA;Peers;College Enrollment,"Abstract There is consistent evidence that student involvement in extracurricular activities (EAs) is associated with numerous academic benefits, yet understanding how peer associations within EAs might influence this link is not well understood. Using Add Healthâ€™s comprehensive data on EA participation across 80 schools in the United States, we develop a novel measure of peer associations within EA activities. We find that EA participation with high achieving peers has a nontrivial link to college enrollment, even after considering individual, peer, and school-level factors. This suggests that school policies aimed at encouraging student exposure to high achieving peers in EAs could have an important impact on a studentâ€™s later educational outcomes.", , ,, , , , ,,,, ,0049-089X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0049089X14001689,https://doi.org/10.1016/j.ssresearch.2014.08.013, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Gibson,Kerry;Morgan,Mandy",Narrative Research on Child Sexual Abuse: Addressing Perennial Problems in Quantitative Research,QUALITATIVE RESEARCH IN PSYCHOLOGY}, ,2013,10,3,298,317, ,"Narrative research can offer insights into perennial methodological problems facing quantitative researchers in the field of child sexual abuse. Using research data from a retrospective, narrative study of 29 adult participants who had spent their childhood in a New Zealand commune in which child sexual abuse was known to have occurred, this article explores four key methodological issues in the field of child sexual abuse research. These include problems surrounding the definition and reporting of child sexual abuse; the relationship between sexual abuse and other adverse experiences; the link between abuse and its variable psychological effects; and finally, the ethics of conducting research into child sexual abuse. Recommendations are made for future directions in child sexual abuse research.}", , ,, , , , ,,,, ,1478-0887}, ,"Gibson, K (Reprint Author), Univ Auckland, Sch Psychol, Private Bag 92019, Auckland 1142, New Zealand. Gibson, Kerry, Univ Auckland, Sch Psychol, Auckland 1142, New Zealand. Morgan, Mandy, Massey Univ, Sch Psychol, Palmerston North, New Zealand.}", , , , , , , ,10.1080/14780887.2011.606597, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Glick,Jennifer E.;Walker,Laquitta;Luz,Luciana",Linguistic isolation in the home and community: Protection or risk for young children?,Social science research,Soc.Sci.Res.,2013,42,1,140,154,Linguistic isolation;Children of immigrants;Cognitive development;Community characteristics,"Studies of immigrant adaptation in the United States emphasize the importance of duration of residence, language use, location of schooling and other factors related to the migration process in determining outcomes for immigrants. Research also points to the variability of socioeconomic mobility among immigrants and their descendants across receiving contexts encountered in the United States. This paper extends this model to young children and examines how the linguistic environment of the family and the community interact to produce differential developmental outcomes. The analyses rely on data from the Early Childhood Longitudinal Study-Birth Cohort (ECLS-B) and 2000 US Census. Childrenâ€™s cognitive scores vary considerably by mothersâ€™ nativity and household linguistic isolation; a result that is largely influenced by the greater likelihood of living in poverty for children in linguistically isolated homes. The level of linguistic isolation in the community is also associated with cognitive scores but the greatest variation in scores across communities occurs among children of US born mothers.", , ,, , , , ,,,, ,0049-089X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0049089X12001615,https://doi.org/10.1016/j.ssresearch.2012.08.003, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"GÃ³mez-Zepeda,Gabriela;PetreÃ±as,Cristina;Sabando,Dorys;PuigdellÃ­vol,Ignasi",The role of the Support and Attention to Diversity Teacher (SADT) from a community-based perspective: Promoting educational success and educational inclusion for all,Teaching and Teacher Education, ,2017,64, ,127,138,Support teacher;Inclusive schools;Community-based support;Academic success;Support networks;Teacher collaboration,"Abstract This article addresses the transformation of the role of the Support and Attention to Diversity Teacher (SADT), traditionally called special education faculty. The results are from a qualitative study in three inclusive preschool and elementary schools in Catalonia, Spain. The results demonstrate a transformation in the role of the SADT that mobilizes teachers, specialists and diverse agents in the community to join the work of educational support. The transformation of the SADT role fosters an improvement in the attention and learning of children in the classroom, and existing resources are optimized in collaboration with the entire educative community.", , ,, , , , ,,,, ,0742-051X, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0742051X17302123,https://doi.org/10.1016/j.tate.2017.02.002, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"GonzÃ¡lez,R. R.;Olea,M. F.;Limon,K. M. S.;SÃ¡nchez,C.;Rosas,H. A.",Experimental application and criteria for the interpretation of two versions of the Home Observation for the Measurement of the Environment (HOME) Inventory for infants 0 to 3 years of life,Salud Mental, ,2010,33,1,57,66,Child development;Family environment;HOME inventory;Socioeconomic status,"The Home Observation for the Measurement of the Environment (HOME) Inventory is the most widely used tool in evaluating the environmental stimulation and family potential to provide necessary cognitive, social, and emotional support available to the child development. The HOME uses an observation/interview format to measure specific interactions between the caregiver and the child, various issues and events that might stimulate the child, and a variety of experiences provided at home or by family members that offer opportunity for growth and development. There are several versions to use from birth to age 3 (Infant-Toddler HOME), the most famous data come the late 60's (1968), it is composed by 45 items (HOME-45) clustered into six subscales. It has a back up of 40 years of publications, over 650 papers, associating with the children's language development, intellectual performance, and academic achievement or psychosocial and socioeconomic characteristics of the family. In Mexico, there are only two published version reports of the use of HOME-45. Most reports refer to the version of Cravioto from the late 60's, with 7 subscales and 62 items (HOME-62) from which there's poor information in the literature about the criteria for to interpreter the outcome results. The aim is to show the results of the implementation of both versions of HOME inventory, and provide criteria for interpretation in a sector of the Mexican population of low socioeconomic status. Material and Methods: We studied 1031 children and their homes from three communities of low socioeconomic status of central Mexico. Explaining the procedures and obtained informed consent, they were visited at home to implement the HOME Inventory and the socio-economic survey, with a 95% interobserver reliability. The procedures performed were approved by the Ethics and Research Committees from National Pediatric Institute. We applied the HOME-45 and HOME-62 in a integrated format to obtain the total score and each subscale from each version. It was also felt cut-off formed three groups with low stimulation (lowest fourth), middle stimulation (middle half) and high stimulation (upper fourth). The HOME-45 applies all the items to children 0 to 3 years; in the HOME-62 before 3 months old are evaluated only 50 items and after 3; 9; 12; 15 and 18 months old apply 54; 55; 57; 59 and 62 items respectively. Depending on the age, 26 to 36 items are common, representing from 58 to 80% of HOME-45 and 52 to 58% of HOME-62. There is no correspondence between the subscales of both versions, they have a different name and composition of items; so, we consider both versions as different. Social survey: A modified version of the socio-economic interview of the National Pediatric Institute was applied, therefore three levels were established: medium low, low and very low social-economic status. Statistical analysis: Four groups were formed by age range of children, to analyze the version HOME-45 and 6 groups for HOME-62 version, depending on the number of applicable items indicated in the format. The analysis related to HOME-62 considered only those items that the format indicates to apply for specific ages. Analyze was performed using JMP statistical software (version 5.01; SAS). We used ANOVA, Student's t test or Tukey Kramer's test to examine differences between means and chi square test to assess differences between proportions; p< 0.05 was considered statistical significance. Results: 52.7% of the children were female, aged 1 to 35 months (0=16.2 Â± 9.3 months) mother was the primary caregiver of the child at 87.8%. The mean mother's age was 26.5 Â± 5.7 years with a range of 14 to 43 years, the father's age was 29.8 Â± 7.34 years. Mother's education mean was 9 years, 24% elementary school or less. HOME-45 Inventory achieved mean score in the population of 31.02 Â± 5.68 points, equivalent to a hits proportion of 0.69 Â± 0.13, with limits between 0.51 (variety) to 0.81 (responsibity). We found statistical significance differences in the total score of HOME-45 Inventory according to socioeconomic and marital status, birth order of children, education and age of parents. There were also found differences between all subscales of HOME-45 with the socioeconomic status and parent's education. With scores of HOME-45 Total difference was found between children younger than 6 months respect to older. There were also differences in the same sense in the subscales except for Acceptance and Organization subscales. It was considered the cutoff point for low, medium and high stimulation in the total population (0-35 months), to total scale and each subscale, the most important differences observed occurred in children under 6 months of age. HOME-62 Inventory (Cravioto): The total score and the subscales of HOME-62 also showed associations with sociodemographic variables such as education, age and marital status from parents, socioeconomic family status and birth order of children. Scores reached at the HOME-62 were equivalent to the hits proportion of 0.74 Â± 0.1, all subscales showed mean higher than 0.5 and three above 0.8. There were major differences in the total score of HOME-62 considering the age group proposed, similar differences were observed in most of the subscales. The cut-off points for types of stimulation of total HOME-62 tend to increase with the age of the child. The same happened with the subscales except Frequency and Stability of adult contact and Emotional climate, were descended. It was compared the relationship between the two versions of HOME once the criteria proposed was applied: 719 family environments were similarly characterized by both versions (69.7%) and 235 environments (22.8%) were defined by the HOME-45 with great stimulation while 80 environments (7.8%) were defined by the HOME-62 with great stimulation too. Discussion: There are no benchmarks in the Mexican population for any of the two versions of HOME used. And the international benchmarks HOME-45 were obtained from American families for over 30 years, being important to have results related to its application and interpretation of HOME-45 in a sector of the Mexican population, allowing contrasting findings regarding those obtained in other latitudes. HOME-62 version is the most widely used in Mexico, but little has been reported about the achieved scores, because there are no criteria for interpretation. The values proposed in this paper can be used in future comparisons with the results of other studies. Differences in scores of each version of HOME according to the age of the children, make it necessary to show the results adjusted by age ranges, common procedure in several instruments. The results of HOME-45 in the population were similar to those obtained in other data, there were no statistical differences with the Little Rock values in the total score, and it existed with the subscales of Acceptance and Organization. Like in that population, the tendency to increase the total score of HOME-45 with age was due mainly to Learning materials and Variety subscales. The results of HOME-62 provide benchmarks for its interpretation in 6 age group and all subscales. If they are applied to the results of the Cravioto's investigation, they are able to differentiate families with a history of malnourished children in the early years of life. Both versions showed ability to discriminate socio-economic characteristics of family. It is necessary to report results of the implementation of HOME in different contexts in qualitative and quantitative terms for a proper comparison and interpretation of the differences between groups as well as analyzing the relationship between the specific results in the subscales of both versions with the development, behavior and welfare of children.", , ,, , , , ,,,, , , ,"Affiliation: Instituto Nacional de PediatrÃ­a, Mexico; Affiliation: Universidad AutÃ³noma Metropolitana, Mexico", ,Spanish, , ,Experiencia de la aplicaciÃ³n y criterios para la interpretaciÃ³n de dos versiones del Inventario HOME para infantes de 0 a 3 aÃ±os de vida, ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951571168&partnerID=40&md5=4b615c8a6c9194b49277bbefa0c4aa21, , , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Goodkind,Sara;Schelbe,Lisa;Joseph,Andrea A.;Beers,Daphne E.;Pinsky,Stephanie L.",Providing new opportunities or reinforcing old stereotypes? Perceptions and experiences of single-sex public education,Children and Youth Services Review, ,2013,35,8,1174,1181,Single-sex education;Public schools;Race;Gender;Poverty,"Abstract There has been a widespread increase in single-sex public schooling in the U.S. following 2006 changes to the Department of Education regulations motivated by the No Child Left Behind Act of 2001. Single-sex public schooling is viewed as a means to improve the educational experiences and performance of low-income youth of color. Yet little is known about its effects and efficacy, particularly for these populations. This article is based on a community-based participatory research project, on which high school students and university researchers collaborated, conducted in a low-income, African American high school implementing single-sex courses. Our findings challenge proponents' key assumptions that single-sex education will improve the academic achievement of low-income youth of color by 1) eliminating distraction from the other sex; 2) addressing the different learning styles of girls and boys; and 3) remedying inequities by offering these youth opportunities traditionally afforded to more privileged youth. While some distractions were decreased, others were increased or ignored; racialized stereotypes of hypersexuality and essentialized notions of gender were reinforced; and students felt punished rather than privileged by being separated by sex. We conclude that single-sex education as a public school option is a neoliberal approach to addressing low achievement that deflects attention from the structural inequities that created the problem and implicitly blames those experiencing oppression.", , ,,"Place, Power, and Possibility:Remaking Social Work with Children and Youth", , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0190740913001205,https://doi.org/10.1016/j.childyouth.2013.04.004, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Hanna,P.","Foucauldian Discourse Analysis in Psychology: Reflecting on a Hybrid Reading of Foucault When Researching ""Ethical Subjects""",Qualitative Research in Psychology, ,2014,11,2,142,159,ethics;Foucauldian Discourse Analysis;knowledge;power;reflexivity,"This article attempts to address a novel dilemma the author recently faced when undertaking qualitative psychological research into sustainable tourism. The article embraces notions of reflexivity to highlight how the research process was far removed from the sanitised version often presented in research methods textbooks. The article provides a reflexive account of the struggles of analysing Internet and interview data in relation to sustainable tourism via the dominant version of Foucauldian Discourse Analysis familiar to many qualitative/critical psychologists. Turning to an account of Foucault's later work on ethics, this article presents an alternative approach to Foucauldian Discourse Analysis that adopts a hybrid reading of Foucault's work on power, knowledge, and ethics. Drawing on Foucault's four precepts helps us explore the ways individuals ""cultivate the self as an ethical subject,"" and interview data are presented to highlight the ways such an approach can enrich analysis. It is concluded that while presenting issues surrounding understandings of structure and agency, such an approach did offer a pragmatic solution to an ethical question and may indeed be useful in a range of other areas. Â© 2014 Copyright Â© 2014 Crown Copyright.",Cited By :3, ,, , , , ,,,, , , ,"Affiliation: School of Applied Social Science, University of Brighton, Brighton, United Kingdom", ,English, , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897728215&doi=10.1080%2f14780887.2013.853853&partnerID=40&md5=d0a4b3fbc579f3a900c7350131367c04,10.1080/14780887.2013.853853, , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Hong,Saahoon;Choi,Wonseok","A longitudinal analysis of the effects of open enrollment on equity and academic achievement: Evidence from Minneapolis, Minnesota",Children and Youth Services Review, ,2015,49, ,62,70,Open enrollment;Urban students;Students in the child welfare system;School outcomes;Academic achievement,"Abstract Open enrollment was expected to provide students in urban school settings with equal opportunity to access schools with abundant educational resources that led to improved student achievement. The One-way ANOVA and Linear Mixed Models used a propensity score matching method were administered to identify to what extent urban students utilized inter-district open enrollment in a Midwestern city and to compare their performances on standardized tests before and after the school transfer had occurred. The results indicated that open enrollment provided black students and students in the child welfare system with equal access to racially and socioeconomically integrated schools. However, these students' academic performance was not significantly enhanced by their open enrollment, except the 3rd grade student achievement in math. The results raised questions about the characteristics of open enrollment. Recommendations for future research are made; study limitations are addressed.", , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0190740915000122,https://doi.org/10.1016/j.childyouth.2015.01.002, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Hopson,Laura M.;Lee,Eunju;Tang,Ning",A multi-level analysis of school racial composition and ecological correlates of academic success,Children and Youth Services Review, ,2014,44, ,126,134,School racial composition;Segregation;Academic performance;Behavior;African American students;Middle school,"Abstract Current policy and practice interventions have failed to address disparities in academic success by race/ethnicity or socio-economic status. In addition, as policy interventions to prevent racially segregated schools have stalled, progress toward reducing these achievement gaps has also slowed. This exploratory study employs multi-level modeling to examine how risk and protective factors in students' schools, homes, peer groups, and neighborhoods relate to behavior and academic performance. We examine whether these relationships depend on the racial composition of the school and, in particular, the concentration of African American students in schools. The findings indicate that protective school, home, peer group, and neighborhood environments characterized by social support and safety are associated with positive academic outcomes and behavior. Students attending more segregated schools in which the majority of students are African American report worse behavioral and academic outcomes than students in other schools, even when controlling for other important dimensions of the school environment, school climate, school safety, and poverty. In addition, school racial composition shapes how key protective factors relate to grades.", , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S019074091400214X,https://doi.org/10.1016/j.childyouth.2014.05.026, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Islas,M. H.",El plagio acadÃ©mico en la investigaciÃ³n cientÃ­fica Consideraciones desde la Ã³ptica del investigador de alto nivel,Perfiles Educativos, ,2016,38,153,120,135,Peer review;Professional ethics;Researchers;Scientific production;Scientific research,"The main objective of this investigation is to contribute to understanding of the ways in which researchers conceive academic plagiarism and the people implicated in cases of plagiarism. In addition, it seeks to understand the way in which researchers make decisions about cases of plagiarism when they are implicated as evaluators or editors of scientific publications. For this investigation of a qualitative nature, in-depth interviews were conducted in order to account for personal experiences and perceptions narrated directly by 51 Mexican senior researchers. The results reveal contradictions in the importance that investigators state they give to plagiarism and their close-up perception of this phenomenon, with the actions they carry out in the face of plagiarism and their experiences over the course of their careers. Moreover, the study permits the identification of some prevailing criteria for deciding not to pursue certain cases of plagiarism fully. Â© 2016, Instituto de Investigaciones sobre la Universidad y la EducaciÃ³n (IISUE).", , ,, , , , ,,,, , , ,"Affiliation: Centro Universitario de la Costa, Universidad de Guadalajara, Mexico", ,Spanish, , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019928637&partnerID=40&md5=520381d49220ae0f81c4f026a07b8f5c, , , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
Journal Article,"Jones,Martyn C.;Wells,Mary;Gao,Chuan;Cassidy,Bernadette;Davie,Jackie",Work stress and well-being in oncology settings: a multidisciplinary study of health care professionals,PSYCHO-ONCOLOGY}, ,2013,22,1,46,53, ,"Objectives Staff working in oncology report high levels of work-related stress. This arises partly from the nature of clinical work, including practitioner perceptions of high demand and low control or high effort and low reward. This comparative study investigated the correlates of work stress in a multidisciplinary group of staff and the associations between staff perceptions of the work environment, emotional distress, job satisfaction and work-based social support. Methods This questionnaire study combined quantitative and qualitative assessment in", , ,, , , , ,,,, ,1057-9249}, ,"Jones, MC (Reprint Author), Univ Dundee, Sch Nursing \& Midwifery, Alliance Self Care Res, 11 Airlie Pl, Dundee DD1 4HJ, Scotland. Jones, Martyn C., Univ Dundee, Sch Nursing \& Midwifery, Alliance Self Care Res, Dundee DD1 4HJ, Scotland. Cassidy, Bernadette, Ninewells Hosp, NHS Tayside, Dept Radiotherapy, Dundee DD1 9SY, Scotland.}", , , , , , , ,10.1002/pon.2055, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Kapoulitsas,Maryanne;Corcoran,Tim",School Psychologists and Ethical Challenges,EDUCATIONAL AND DEVELOPMENTAL PSYCHOLOGIST}, ,2017,34,"1, SI",48,61, ,"This research explored how psychologists working in the Victorian secondary state school system construct meaning around ethical practice. The specific aims of the research were to examine psychologists understanding of ethics in practice within schools and to explore challenges they faced regarding professional ethics when working in the education system. A qualitative design was adopted to explore the topic. Five psychologists working in the Victorian state education system were interviewed, and the data were analysed using thematic analysis. Two themes presented from the transcripts: legalities and ethics and varied peer support. The psychologists reported having to confront often and repeated ethical challenges, but despite this, positioned themselves as ethical practitioners. Ethical practice was portrayed as a complex construct that is always socially and politically embedded. Subsequently, discussion on the topic should extend beyond the sole practitioner. The research provides future direction for policy development and workplace procedures, including access to professional supervision.}", , ,, , , , ,,,, ,2059-0776}, ,"Kapoulitsas, M (Reprint Author), Victoria Univ, Coll Arts, Ballarat Rd, Footscray, Vic 3011, Australia. Kapoulitsas, Maryanne, Victoria Univ, Coll Arts, Melbourne, Vic, Australia. Corcoran, Tim, Deakin Univ, Sch Educ, Melbourne, Vic, Australia.}", , , , , , , ,10.1017/edp.2016.21, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Kayama,Misa;Haight,Wendy;Kincaid,Tamara;Evans,Kelly",Local implementation of disability policies for â€œhigh incidenceâ€ disabilities at public schools in Japan and the U.S.,Children and Youth Services Review, ,2015,52, ,34,44,High-incidence disabilities;Cross-cultural analyses;Special education;Local implementation of policies;Japan,"Abstract This study examines educators' responses to the local implementation of national special education policy changes for children with â€œhigh-incidence,â€ (mild cognitive and behavioral) disabilities. Sensitized by a sociocultural, developmental perspective, we examined Japanese and U.S. national educational policies for the support of children with high incidence disabilities and their implementation in local public schools. Twenty-six Japanese and 18 U.S. elementary school educators participated in individual interviews and discussed their experiences and perceptions of special education policies and their local implementation. Educators in both countries expressed common challenges, specifically, balancing legal requirements with everyday practices, adjusting to policy shifts, and negotiating support for children within and outside of their classrooms. Yet their experiences were culturally nuanced reflecting 1) relatively flexible (Japan) or fixed (U.S.) legal requirements, 2) shifts to more specialized (Japan) or more classroom-based (U.S.) support, and 3) established practices of classroom-based support (Japan) or pull-out support (U.S.). These cultural differences are examined in historical and sociocultural contexts, and implications are discussed for educators, social work practitioners, and policy makers in both Japan and the U.S.", , ,, , , , ,,,, ,0190-7409, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0190740915000766,https://doi.org/10.1016/j.childyouth.2015.02.009, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Kiss,David",The impact of peer achievement and peer heterogeneity on own achievement growth: Evidence from school transitions,Economics of Education Review, ,2013,37, ,58,65,Ability peer effects among high-achievers;Natural experiment,"Abstract This paper estimates ability peer effects on achievement growth in reading and math. It exploits variation in peer characteristics generated at the transition from primary to secondary school in a sample of Berlin fifth-graders. As will be discussed in detail, this variation is exogenous in large parts. Results are similar for both achievement measures: pupils benefit from abler peers, but high-achievers do so to a smaller extent. The variance in peer skills has no impact on achievement growth â€“ the corresponding estimates are negative, but insignificant.", , ,, , , , ,,,, ,0272-7757, , , , , , , , ,http://www.sciencedirect.com/science/article/pii/S0272775713001040,https://doi.org/10.1016/j.econedurev.2013.08.002, , , , ,ScienceDirect, , , , , , , , , , , , , , , , , , 
Journal Article,"Kubiliene,N.;Yan,M. C.;Kumsa,M. K.;Burman,K.",The response of youth to racial discrimination: implications for resilience theory,Journal of Youth Studies, ,2015,18,3,338,356, ,"This paper presents a qualitative participatory study of Canadian young people who identified themselves as visible minorities and who have experienced discrimination based on their skin colour or ethnicity. Eighteen participants aged 15Ã¢â‚¬â€œ24 (12 girls and 6 boys), representing four ethnic minority groups, participated in focus groups and in-depth interviews and shared their responses to racial discrimination against them. Analysis of the data from the four discussion groups reveals that racism occurs in everyday situations and places, a lot of times manifesting itself as subtle forms of discrimination. Our findings also suggest that most of the participants tend to employ non-confrontational approaches when dealing with racial violence against them, and provide us with the rationale behind their intentions. Further, youth are not uniformly impacted by racialized events, and therefore the coping strategies they use vary based on individual and contextual factors. Three common strategies for healing can be derived from the participantsÃ¢â‚¬â„¢ narratives: expressive-emotional, spiritual-forgiving and communicative-relational. We discuss our findings in the light of theoretical frameworks of resilience and coping approaches and argue that young peopleÃ¢â‚¬â„¢s subjective appraisals of racialized events as well as contextual factors need to be addressed in any discussion on coping and resilience within minority youth populations. Ã‚Â© 2014, Ã‚Â© 2014 Taylor & Francis.",cited By 2; Scopus, ,, , , , ,,,, , , ,"Interdisciplinary Studies Graduate Program, University of British Columbia, Vancouver, BC, Canada; School of Social Work, University of British Columbia, Vancouver, BC, Canada; Wilfrid Laurier University, Kitchener, ON, Canada; South Vancouver Neighbourhood House, Vancouver, BC, Canada", , , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927175062&doi=10.1080%2f13676261.2014.963535&partnerID=40&md5=e767de05f45d3fe65aec05f5d7afa60f, ,10.1080/13676261.2014.963535, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"Lobo Guzzoa,Raquel Souza;Martins Linhares,Maria Beatriz;Martins Teodoro,Maycoln Leoni;Koller,Silvia Helena",Perspectives and Challenges Regarding Brazilian Policies for Research and Postgraduate Studies in Psychology,PSICOLOGIA-REFLEXAO E CRITICA}, ,2015,28,1,34,39, ,"The National Association of Research and Postgraduate Studies in Psychology (ANPEPP) promotes exchange among researchers to develop and consolidate lines of research, through the discussion of action strategies and decisions that impact Brazilian scientific policy. Themes such as postgraduate research training, national production and the internationalization of knowledge have been the focus of ANPEPP's biennial research and scientific exchange symposia, in forums on Ethics in Research, Scientific Policies and Internationalization. The Scientific Policy Committee (Comissao de Politicas Cientificas - CPC) is responsible for each symposium, providing and discussing issues for future goals and plans. Themes identified by the CPC in recent biennia (2010/2012 and 2012/2014) relate to official documents on educational policies (National Education Plan - 2010-2020; National Postgraduate Plan - 2010/2020) and their impact on Brazilian postgraduate programs and the production of research in psychology. Recent themes include: encouraging models of scientific production; clarity of the profile of the researcher; and better conditions for the training of scientists for research, technology and innovation. Fulfillment of these actions is essential for the VI National Postgraduate Plan (VI PNPG in Portuguese) goals to take effect and change the research climate of the country. It will do so through improved monitoring of postgraduate programs, adjustment of training curricula for researchers, and internationalization activities. Formulation, development and evaluation of these policies could herald better prospects for a fair and qualitative growth in Brazilian psychology.}", , ,, , , , ,,,, ,0102-7972}, ,"Koller, SH (Reprint Author), Univ Fed Rio Grande do Sul, Inst Psychol, Ctr Psychol Studies Risk Populat CEP Rua, BR-90046900 Porto Alegre, RS, Brazil. Lobo Guzzoa, Raquel Souza, Pontificia Univ Catolica Campinas, Campinas, SP, Brazil. Martins Linhares, Maria Beatriz, Univ Sao Paulo, Ribeirao Preto, SP, Brazil. Martins Teodoro, Maycoln Leoni, Univ Fed Minas Gerais, Belo Horizonte, MG, Brazil. Koller, Silvia Helena, UUniv Fed Rio Grande Sul, Porto Alegre, RS, Brazil. Koller, Silvia Helena, North West Univ Vanderbijlpark, Vanderbijlpark, South Africa.}", , , , , , , ,10.1590/1678-7153.2015284006, , , , , , , , , , , , , , , , , , , , , , , 
Journal Article,"McCormack,H. M.;MacIntyre,T. E.;O'Shea,D.;Campbell,M. J.;Igou,E. R.",Practicing what we preach: Investigating the role of social support in sport psychologists' well-being,Frontiers in Psychology, ,2015,6,DEC, , ,Burnout;Ethics;Mental health;Qualitative;Self care;Social support;Sport psychology;Work engagement,"Well-being and mental health of psychologists and their clients can be strongly linked to the psychologists' experience of work. We know from general theories of occupational health psychology that certain work factors will have a greater impact on well-being than others. Work engagement is positively related with occupational health, while burnout and workaholic tendencies relate negatively. An individual's resources can buffer against these negative effects. Specifically, the environmental resource of social support can impede the impact and instance of workaholism and has a positive influence on burnout. Social support is often encouraged by sport psychologists in protecting an athlete's well-being. Drawing on theory and research from work and organizational, health and social psychology we explore the lived experiences of burnout and work engagement among applied sport psychologists, investigating their perceptions of how these experiences impact their well-being. Thirty participants from five countries were asked, using semi-structured interviews, to recall specific incidents when feelings of work engagement and burnout occurred. We examined the influence of social support and its impact on these incidents. Thematic analysis revealed that burnout is frequently experienced despite high levels of work engagement. Sources of social support differ between groups of high burnout versus low burnout, as does reference to the dimensions of work engagement. Avenues for future research including investigating the role of mindfulness and therapeutic lifestyle changes for practitioners are outlined. Â© 2015 McCormack, MacIntyre, O'Shea, Campbell and Igou.",Cited By :1, ,, , , , ,,,, , , ,"Affiliation: Department of Physical Education and Sport Sciences, University of Limerick, Limerick, Ireland; Affiliation: Department of Employment Relations, Kemmy Business School, University of Limerick, Limerick, Ireland; Affiliation: Department of Psychology, University of Limerick, Limerick, Ireland",Art. No.: 01854,English, , , , ,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954240355&doi=10.3389%2ffpsyg.2015.01854&partnerID=40&md5=b5c982fda074ca6634b3dd0f5e70a0a9,10.3389/fpsyg.2015.01854, , , ,SCOPUS,Scopus, ,4 September 2017, , , , , , , , , , , , , , , , 
